Comment,Designator,Footprint,LCSC Part #
"0.1uF","C3,C4,C8,C13,C17,C20,C21,C25,C28","0603",C14663
"100pF","C9","0603",C14858
"10uF/16V","C2,C18,C19,C23","0603",C96446
"10uF/16V","C6,C7","0805",C15850
"10uF/16V","C22","1206",C13585
"1nF","C1","0603",C1588
"1uF/16V","C5,C29","0603",C15849
"22uF/16V","C10,C11,C14,C15","0805",C45783
"4.7nF","C24,C26","0603",C53987
"4.7uF/16V","C27","0603",C19666
"B5819WS","D1","SOD-323",C7420331
"PTC Resettable Fuse 0.75A hold 1.5A trip 1812","F1","1812",C6558203
"Ferrite Bead 120R@100MHz 0805","FB1","0805",C41330
"AP63200WU-7","IC1","TSOT-26",C2071868
"Micro SD Card Socket push-push SMD (TF-01A)","J4","uSD-Socket",C91145
"USB-C receptacle 16P THT (USB-TYPE-C-017)","J5","USB-C-16P",C2927037
"Power Inductor 10uH 5x5mm Isat 1.55A DCR 143mR (SWPA5020S100MT)","L1","SPH5030-5x3mm",C52281
"DMMT5401","Q1","SOT-23-6",C154733
"SSM3J332R","Q2","SOT-23",C146367
"0R","R50","0603",C21189
"10R","R52","0805",C17415
"10k","R41,R42,R45,R46,R47,R48,R49,R51,R59","0603",C25804
"196k 1%","R6","0603",C2974032
"1k","R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R53,R54","0603",C21190
"2.2k","R57,R58","0603",C4190
"330R","R3,R5,R35,R36,R37,R38","0603",C23138
"4.7k","R4,R8,R9,R10,R39","0603",C23162
"470R","R27,R28,R29,R30,R31,R32,R33,R34","0603",C23179
"47k","R1,R2","0603",C25819
"5.1k","R55,R56","0603",C23186
"62k 1%","R7","0603",C2907059
"A06-B6-1 side switch - SUPPLY YOURSELF https://www.devicemart.co.kr/goods/view?no=1322059","S1","SMD-4P-Side",
"SM6T6V8CA","TVS1","DO-214AA",C111201
"UDA1334A breakout 9+6pin Adafruit 3678 compatible - SUPPLY YOURSELF https://www.adafruit.com/product/3678","U2","Module-UDA1334A",
"Waveshare Core2350B module 2x32 - SUPPLY YOURSELF https://www.aliexpress.com/item/1005009578742534.html","U1","Module-Core2350B",
