Designator,Mid X,Mid Y,Layer,Rotation
C1,-36.9900,15.3200,top,90
C2,-30.9500,14.2820,top,270
C3,-29.4800,14.3000,top,270
C4,-35.4900,21.2900,top,0
C5,-35.4900,22.7500,top,0
C6,-35.2100,24.4700,top,0
C7,-35.2100,26.4300,top,0
C8,-33.2800,32.6300,top,180
C9,-36.4400,32.3600,top,270
C10,-24.8600,28.0640,top,270
C11,-22.8500,28.0700,top,270
C13,37.7200,47.8900,top,0
C14,37.9800,46.2100,top,0
C15,37.9800,44.2300,top,0
C17,-12.8200,28.8500,top,270
C18,-14.3000,28.8400,top,270
C19,2.4000,50.2700,top,0
C20,-24.2800,37.4300,top,270
C21,2.3900,51.6600,top,0
C22,-26.2900,36.6600,top,270
C23,-32.4000,36.3000,top,90
C24,-44.9100,36.3000,top,90
C25,-33.9000,36.3000,top,270
C26,-41.9600,36.3000,top,90
C27,37.6400,61.1600,top,270
C28,39.0200,61.1600,top,270
C29,-42.7020,32.6100,top,0
D1,-13.8100,31.2900,top,180
F1,29.1600,52.6900,top,180
FB1,-20.8600,30.1200,top,90
IC1,-35.1000,29.0800,top,270
J4,0.5000,59.5000,top,180
J5,43.5400,57.0000,top,90
L1,-29.4800,29.0800,top,0
Q1,-39.6500,15.1820,top,90
Q2,-34.3600,14.6300,top,90
R1,-38.7000,18.9100,top,270
R2,-40.6000,19.0520,top,270
R3,19.0700,17.0000,top,90
R4,13.2300,17.0000,top,90
R5,-20.2400,13.2000,top,270
R6,-37.9200,32.3600,top,270
R7,-39.3600,32.3600,top,90
R8,25.3500,37.8500,top,270
R9,29.0800,37.8000,top,90
R10,26.9500,37.8500,top,90
R11,-4.1200,13.2000,top,90
R12,-2.8600,17.0000,top,90
R13,-7.0700,13.2000,top,90
R14,-5.5800,17.0000,top,90
R15,-9.1500,13.2000,top,90
R16,-8.6600,17.0000,top,90
R17,4.4500,13.2000,top,90
R18,5.6900,17.0000,top,90
R19,2.9500,13.2000,top,90
R20,9.8000,17.0000,top,270
R21,8.6100,13.2000,top,90
R22,7.1200,17.0000,top,90
R23,1.6100,17.0000,top,90
R24,-1.3200,13.2000,top,90
R25,0.0600,17.0000,top,90
R26,11.5800,13.2000,top,90
R27,-11.3000,13.2000,top,90
R28,-11.2700,17.0000,top,90
R29,-13.5500,13.2000,top,90
R30,-13.5500,17.0000,top,90
R31,-15.5600,13.1900,top,90
R32,-15.5900,17.0000,top,90
R33,-17.6900,13.2000,top,90
R34,-18.8000,17.0000,top,90
R35,15.9000,13.3100,top,90
R36,14.7000,17.0000,top,90
R37,17.5200,17.0000,top,90
R38,21.4800,13.2000,top,90
R39,30.8400,37.8000,top,90
R41,-13.0600,34.6600,top,270
R42,-2.3900,49.8500,top,180
R45,9.8900,54.2500,top,90
R46,11.3700,54.3800,top,90
R47,12.7800,54.3800,top,90
R48,-7.8500,50.5100,top,90
R49,-6.3700,50.4900,top,90
R50,-39.6800,37.0800,top,180
R51,-4.9100,50.4900,top,90
R52,-29.6000,37.0000,top,180
R53,-39.6900,35.5400,top,0
R54,-46.3800,36.3000,top,90
R55,41.6300,50.6800,top,0
R56,41.9400,63.1900,top,180
R57,-45.6720,34.0600,top,0
R58,-42.7000,34.0820,top,0
R59,-43.4300,36.3000,top,270
S1,-22.0075,64.2000,top,0
TVS1,-25.0800,13.7100,top,180
U1,0.9900,35.9900,top,90
U2,-36.3100,51.0400,top,0
